COUNTRY;ISO3;Human_Development_Index;Multidimensional_Poverty_Index;Development_and_Deprivation;Gender_Inequality_Index;Gini_Index;Inequality;Total_public_Aid_M_Usdollars;Public_Aid_per_capita_US;Public_Aid_per_capita_Usdollars;Net ODA received (% of GNI);Volume of remittances;Economic Dependency Index;INFORM Socio-Economic Vulnerability;Total Uprooted people (1,000 people);Uprooted_people_total_ population;Total_Pop;Total_Uprooted_people_percentage_of_the_total_population;Uprooted people;Estimated_number_of_people_living_with_HIV_Adult_moreThan15_rate;Number_of_new_HIV_infections_per_1000_uninfected_population;HIV;Incidence_of_Tuberculosis;Malaria_incidence_per_1000_population_at_risk;People requiring interventions against neglected tropical diseases (% of total population);People requiring interventions against neglected tropical diseases;Health Conditions;Food Availability Score;Food Utilization Score;Food Security;Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months (18-49);Attitudes_towards_violence;GBV;INFORM_Vulnerable_Groups;Air_transport_passengers_carried;International_tourism_number_of_arrivals;Point_of_entry;International_movements;Access_to_Cities;Road_density;Road_density;Internal_movements;Movements;Adult_literacy_rate;Mobile_cellular_subscriptions;Internet_usres;Awerness;Trust;Behaviour;Demographic_and_Co_morbidities;Covid_19_Vulnerability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh;BGD;5,7;8,5;7,4;7,1;1,9;4,5;22.567;138;2,8;0,7;1,9;1,8;5,3;1.285,2;10,0;0,79%;5,3;7,7;0,2;0,1;0,2;4,0;0,0;34,55%;3,8;2,0;5,3;3,2;4,3;6,3;3,4;4,9;5,1;6,9;x;6,0;6,5;9,3;18;1,8;5,6;6,1;5,0;5,1;8,2;6,1;7,9;7,0;1,2;3,9,
Barbados;BRB;1,7;3,4;2,6;3,4;x;3,4;21;73;1,5;x;0,7;1,1;2,4;0,0;0,0;0,00%;0,0;0,0;2,6;3,8;3,2;0,0;x;0,14%;0,0;1,1;4,0;0,0;2,0;x;x;x;1,1;x;4,6;x;4,6;9,9;419;10,0;10,0;7,3;0,1;4,4;2,0;2,2;6,1;4,2;8,0;6,9,,,,,,,,
Belarus;BLR;1,7;x;1,7;1,6;0,1;0,9;140;15;0,3;0,1;0,8;0,4;1,2;2,4;1,3;0,03%;2,3;1,8;0,8;1,6;1,2;0,7;x;0,00%;0,0;0,6;2,3;0,0;1,2;x;0,4;0,4;1,0;6,1;7,6;x;6,9;4,6;99;9,9;7,3;7,1;0,1;4,0;2,6;2,2;x;2,2;8,0;6,3,,,,,
Belgium;BEL;0,0;x;0,0;0,6;0,7;0,7;-12;-1;0,0;x;0,8;0,4;0,3;61,7;6,0;0,53%;4,8;5,4;x;x;x;0,2;x;0,00%;0,0;0,1;0,4;0,0;0,2;1,6;0,1;0,9;2,0;7,8;7,3;6,0;7,0;7,6;495;10,0;8,8;7,9;x;5,1;1,2;3,2;4,7;4,0;8,0;7,0,,,,,,,
Belize;BLZ;3,6;4,6;4,1;5,2;x;5,2;12;31;0,6;1,3;1,6;1,2;3,7;3,3;1,7;0,86%;5,4;3,6;3,6;5,2;4,4;0,7;0,0;1,77%;0,2;1,3;4,0;0,8;2,4;x;x;x;2,5;5,3;4,1;2,0;3,8;4,8;26;2,6;3,7;3,8;x;5,9;5,5;5,7;8,7;7,2;2,4;4,0,,,,,
Benin;BEN;7,6;9,5;8,7;8,2;5,7;7,0;630;53;1,1;3,7;0,6;1,8;6,6;1,5;0,6;0,01%;1,9;1,3;2,0;2,0;2,0;1,1;9,2;50,08%;5,6;4,5;3,1;1,7;2,4;x;4,4;4,4;3,3;x;3,6;0,0;1,8;6,8;12;1,1;4,0;2,9;9,0;6,0;8,8;7,9;7,9;7,9;0,4;2,9,,
Bhutan;BTN;5,7;8,3;7,2;5,8;3,1;4,5;70;92;1,8;3,0;0,8;1,9;5,2;0,0;0,0;0,00%;0,0;0,0;0,2;x;0,2;2,4;0,0;30,73%;3,4;1,5;5,3;3,3;4,3;x;8,5;8,5;4,5;3,6;3,5;4,0;3,7;1,8;4;0,3;1,1;2,4;6,1;5,5;5,8;5,8;4,1;5,0;1,6;2,7,,
Bolivia;BOL;3,9;7,3;5,9;5,9;4,8;5,4;627;54;1,1;1,2;1,2;1,2;4,6;0,9;0,0;0,01%;1,7;0,9;0,6;0,8;0,7;2,0;0,0;15,40%;1,7;1,1;6,0;4,0;5,0;5,9;1,9;3,9;2,9;6,5;5,1;10,0;7,2;2,9;9;0,8;1,9;4,6;1,6;5,1;6,0;4,2;9,2;6,7;2,0;3,8
Bosnia and Herzegovina;BIH;2,6;3,4;3,0;2,2;2,0;2,1;527;160;3,2;1,2;3,5;2,6;2,7;105,2;6,7;3,19%;7,5;7,1;x;x;x;0,5;x;0,00%;0,0;0,3;2,7;0,0;1,4;x;0,5;0,5;2,9;x;4,9;0,0;2,5;5,9;75;7,4;6,7;4,6;0,7;4,9;3,1;2,9;8,5;5,7;9,2;7,2,,,,,,
Botswana;BWA;3,4;x;3,4;6,2;7,1;6,7;142;61;1,2;0,3;0,1;0,5;3,5;2,3;1,2;0,10%;3,2;2,2;10,0;10,0;10,0;5,5;0,0;10,47%;1,2;4,2;6,8;7,1;7,0;x;x;x;4,8;3,5;x;0,0;1,8;4,4;7;0,6;2,5;2,2;2,5;2,6;6,1;3,7;5,5;4,6;5,2;4,3,,,,,
Brazil;BRA;2,8;4,5;3,7;5,1;7,1;6,1;1.241;6;0,1;0,0;0,1;0,1;3,4;164,0;7,4;0,08%;3,0;5,2;1,2;1,4;1,3;0,8;0,1;4,46%;0,5;0,7;2,5;0,0;1,3;x;1,0;1,0;2,3;10,0;7,0;6,0;7,7;1,8;11;1,0;1,4;4,6;1,4;5,2;3,9;3,5;9,5;6,5;3,2;4,4,
Brunei Darussalam;BRN;1,1;x;1,1;3,1;x;3,1;0;0;0,0;x;x;0,0;1,3;0,0;0,0;0,00%;0,0;0,0;0,0;x;0,0;1,2;x;0,00%;0,0;0,4;3,7;0,0;1,9;x;x;x;0,8;5,2;3,5;x;4,4;7,0;28;2,8;4,9;4,7;0,6;3,5;1,0;1,7;4,6;3,2;4,0;4,0,,,,,,,,,,
Bulgaria;BGR;1,7;x;1,7;2,9;3,1;3,0;0;0;0,0;x;1,2;0,6;1,8;21,5;4,4;0,31%;4,2;4,3;0,2;0,2;0,2;0,4;x;0,00%;0,0;0,2;4,7;0,0;2,4;1,8;2,2;2,0;2,3;5,0;7,4;4,0;5,5;4,7;77;7,7;6,2;5,9;0,4;4,2;3,7;2,8;7,3;5,1;10,0;7,8,,,
Burkina Faso;BFA;9,3;10,0;9,7;8,2;2,6;5,4;3.163;156;3,1;5,3;1,1;3,2;7,0;805,6;9,7;3,96%;7,9;8,8;1,6;1,3;1,5;0,9;10,0;32,14%;3,6;4,0;3,5;5,0;4,3;1,9;5,4;3,7;5,7;3,0;2,9;0,0;2,0;4,7;15;1,4;3,1;2,6;9,1;5,2;8,6;7,6;7,4;7,5;0,0;2,5
Burundi;BDI;9,5;9,6;9,6;6,9;3,4;5,2;2.271;197;3,9;9,9;0,5;4,8;7,3;160,7;7,4;1,39%;6,1;6,8;2,2;1,6;1,9;2,1;4,9;46,32%;5,1;3,5;7,5;10,0;8,8;6,1;9,1;7,6;7,1;x;3,7;0,0;1,9;10,0;23;2,3;6,2;4,1;5,9;7,4;9,5;7,6;6,1;6,9;0,0;2,8,
Cabo Verde;CPV;5,0;x;5,0;5,0;5,6;5,3;150;273;5,5;2,9;3,9;4,1;4,9;0,0;0,0;0,00%;0,0;0,0;1,6;1,3;1,5;2,4;0,1;26,47%;2,9;1,7;4,9;2,5;3,7;1,5;x;1,5;1,8;2,9;4,6;4,0;3,8;3,6;60;5,9;4,8;4,3;2,7;4,5;4,3;3,8;5,6;4,7;2,0;3,3,,
Cambodia;KHM;6,4;8,3;7,5;6,3;x;6,3;1.229;75;1,5;2,2;1,9;1,9;5,8;0,0;0,0;0,00%;0,0;0,0;1,2;0,3;0,8;5,9;0,5;32,14%;3,6;2,7;5,5;3,8;4,7;2,3;6,2;4,3;3,1;5,4;6,9;6,0;6,1;2,9;19;1,8;2,4;4,3;3,9;4,1;6,6;4,9;6,8;5,9;2,0;3,6,
Cameroon;CMR;6,7;8,8;7,9;7,6;5,4;6,5;5.224;202;4,0;2,1;0,3;2,1;6,1;1.086,0;10,0;4,20%;8,0;9,0;7,6;6,9;7,3;3,5;7,6;62,69%;7,0;6,3;3,6;1,6;2,6;7,2;4,4;5,8;6,5;3,6;x;2,0;2,8;6,3;8;0,7;3,5;3,2;4,5;6,5;7,7;6,2;6,8;6,5;0,0;2,4,
Canada;CAN;0,0;x;0,0;1,1;2,3;1,7;-7;0;0,0;x;0,0;0,0;0,4;192,9;7,6;0,52%;4,8;6,2;x;x;x;0,1;x;0,00%;0,0;0,1;1,2;0,0;0,6;x;0,9;0,9;2,4;9,9;8,3;10,0;9,4;2,8;13;1,2;2,0;5,7;x;5,7;0,9;3,3;3,4;3,4;6,8;5,7,,,,,,,,
Central African Republic;CAF;10,0;9,9;10,0;9,1;7,8;8,5;8.044;1.695;10,0;10,0;x;10,0;9,6;684,5;9,5;14,42%;10,0;9,8;8,0;10,0;9,0;7,7;9,7;79,35%;8,8;8,8;9,2;10,0;9,6;5,8;10,0;7,9;9,2;x;x;0,0;0,0;3,8;5;0,4;2,1;1,1;9,5;8,9;9,6;9,3;x;9,3;0,4;2,8,,,,
Chad;TCD;10,0;10,0;10,0;9,3;4,6;7,0;6.901;433;8,7;5,3;x;7,0;8,5;622,2;9,3;3,90%;7,9;8,6;2,6;2,2;2,4;2,8;4,7;39,02%;4,3;3,6;6,9;10,0;8,5;3,8;9,2;6,5;7,2;x;2,3;2,0;2,2;6,3;2;0,1;3,2;2,7;10,0;7,9;9,5;9,1;7,7;8,4;0,0;2,8,,
Chile;CHL;1,1;x;1,1;3,8;5,4;4,6;66;3;0,1;0,0;0,0;0,0;1,7;14,0;3,8;0,07%;3,0;3,4;1,0;2,1;1,6;0,3;x;0,00%;0,0;0,6;3,2;0,0;1,6;x;1,1;1,1;1,7;8,2;7,0;4,0;6,4;4,7;20;1,9;3,3;4,9;0,8;3,4;1,8;2,0;6,6;4,3;4,8;4,7,,,
China;CHN;2,8;4,5;3,7;2,2;3,4;2,8;-821;-1;0,0;0,0;0,1;0,0;2,6;322,4;8,4;0,02%;2,2;5,3;0,2;x;0,2;1,1;0,0;1,84%;0,2;0,4;2,4;1,2;1,8;x;4,1;4,1;3,1;10,0;9,5;10,0;9,8;3,0;11;1,0;2,0;5,9;0,7;4,3;4,6;3,2;4,2;3,7;5,6;5,2,,
Colombia;COL;2,8;4,8;3,9;5,5;6,2;5,9;7.037;140;2,8;0,4;0,6;1,3;3,8;5.788,1;10,0;11,50%;10,0;10,0;0,8;x;0,8;0,6;0,2;6,74%;0,7;0,6;2,4;0,0;1,2;4,0;1,3;2,7;5,5;8,8;6,5;8,0;7,8;0,8;11;1,0;0,9;4,4;1,1;3,6;3,8;2,8;8,8;5,8;3,2;4,2,
Comoros;COM;7,2;8,4;7,9;x;5,1;5,1;100;117;2,3;4,9;4,6;3,9;6,2;0,0;0,0;0,00%;0,0;0,0;0,2;0,1;0,2;0,6;0,1;97,33%;10,0;2,7;6,0;8,6;7,3;0,9;x;0,9;3,3;x;1,1;0,0;0,6;5,8;37;3,6;4,7;2,7;7,2;7,2;9,2;7,9;x;7,9;0,0;2,7,,,,
Congo;COG;5,8;7,6;6,8;7,7;6,0;6,9;537;100;2,0;1,0;0,0;1,0;5,4;160,6;7,4;2,98%;7,4;7,4;6,2;8,3;7,3;6,8;4,9;33,16%;3,7;5,7;7,9;10,0;9,0;x;6,7;6,7;7,4;3,8;3,3;4,0;3,7;3,1;2;0,1;1,6;2,7;3,9;5,4;9,2;6,2;x;6,2;0,8;2,6,,
Congo DR;COD;8,8;9,6;9,2;8,7;4,3;6,5;2.554;29;0,6;3,7;1,3;1,9;6,7;3.618,9;10,0;4,17%;8,0;9,0;1,4;0,8;1,1;5,9;7,7;64,02%;7,1;5,5;8,4;10,0;9,2;8,1;9,4;8,8;8,4;4,9;x;0,0;2,5;5,2;8;0,7;3,0;2,8;4,5;8,0;9,4;7,3;7,7;7,5;0,0;2,6,
Costa Rica;CRI;2,1;x;2,1;3,8;5,8;4,8;227;45;0,9;0,1;0,3;0,4;2,4;37,2;5,2;0,74%;5,2;5,2;0,8;1,3;1,1;0,2;0,0;0,15%;0,0;0,3;4,1;0,0;2,1;x;0,4;0,4;2,2;5,7;6,2;6,0;6,0;4,3;45;4,4;4,4;5,2;0,5;1,5;2,8;1,6;6,3;4,0;4,4;4,5,,
Côte d'Ivoire;CIV;7,7;8,8;8,3;8,8;4,1;6,5;825;32;0,6;1,5;0,3;0,8;6,0;306,9;8,3;1,19%;5,9;7,1;5,4;6,4;5,9;2,7;3,5;79,64%;8,8;5,2;3,6;4,7;4,2;4,8;5,9;5,4;5,6;4,7;5,6;4,0;4,8;6,4;10;0,9;3,7;4,3;8,5;3,3;5,6;5,8;5,7;5,8;0,4;2,7
Croatia;HRV;1,3;x;1,3;1,6;1,5;1,6;0;0;0,0;x;1,6;0,8;1,3;1,0;0,0;0,02%;2,3;1,2;0,2;x;0,2;0,2;x;0,00%;0,0;0,1;3,3;0,0;1,7;0,7;0,4;0,6;0,9;5,8;8,0;8,0;7,3;5,7;148;10,0;7,9;7,6;0,2;4,8;3,3;2,8;8,4;5,6;9,6;8,1,,,,
Cuba;CUB;2,4;x;2,4;4,2;x;4,2;624;55;1,1;2,0;x;1,6;2,7;0,3;0,0;0,00%;0,0;0,0;0,8;1,1;1,0;0,1;x;0,36%;0,0;0,4;1,5;0,0;0,8;x;0,4;0,4;0,4;4,4;6,7;10,0;7,0;6,3;63;6,3;6,3;6,7;0,1;7,8;5,7;4,5;x;4,5;7,2;6,4,,,,,,
Cyprus;CYP;0,5;x;0,5;1,1;2,3;1,7;0;0;0,0;x;0,7;0,4;0,8;249,3;8,0;20,80%;10,0;9,0;0,2;0,3;0,3;0,1;x;0,00%;0,0;0,1;5,9;0,2;3,1;0,5;1,1;0,8;4,5;4,0;6,4;8,0;6,1;5,2;206;10,0;7,6;6,9;0,3;3,1;1,9;1,8;7,0;4,4;5,6;5,6,,,
