COUNTRY;ISO3;Human_Development_Index;Multidimensional_Poverty_Index;Development_and_Deprivation;Gender_Inequality_Index;Gini_Index;Inequality;Total_public_Aid_M_Usdollars;Public_Aid_per_capita_US;Public_Aid_per_capita_Usdollars;Net ODA received (% of GNI);Volume of remittances;Economic Dependency Index;INFORM Socio-Economic Vulnerability;Total Uprooted people (1,000 people);Uprooted_people_total_ population;Total_Pop;Total_Uprooted_people_percentage_of_the_total_population;Uprooted people;Estimated_number_of_people_living_with_HIV_Adult_moreThan15_rate;Number_of_new_HIV_infections_per_1000_uninfected_population;HIV;Incidence_of_Tuberculosis;Malaria_incidence_per_1000_population_at_risk;People requiring interventions against neglected tropical diseases (% of total population);People requiring interventions against neglected tropical diseases;Health Conditions;Food Availability Score;Food Utilization Score;Food Security;Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months (18-49);Attitudes_towards_violence;GBV;INFORM_Vulnerable_Groups;Air_transport_passengers_carried;International_tourism_number_of_arrivals;Point_of_entry;International_movements;Access_to_Cities;Road_density;Road_density;Internal_movements;Movements;Adult_literacy_rate;Mobile_cellular_subscriptions;Internet_usres;Awerness;Trust;Behaviour;Demographic_and_Co_morbidities;Covid_19_Vulnerability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia;EST;0,4;x;0,4;1,2;1,9;1,6;0;0;0,0;x;0,6;0,3;0,7;0,4;0,0;0,03%;2,3;1,2;2,6;1,3;2,0;0,3;x;0,00%;0,0;0,8;3,1;0,0;1,6;0,7;2,0;1,4;1,2;1,3;6,3;4,0;3,9;3,2;125;10,0;6,6;5,3;0,0;2,8;1,2;1,3;5,4;3,4;9,6;7,0,,,
Eswatini;SWZ;5,8;7,1;6,5;7,7;6,6;7,2;235;205;4,1;1,7;0,9;2,2;5,6;1,6;0,7;0,14%;3,5;2,1;10,0;10,0;10,0;7,2;0,0;22,76%;2,5;4,9;6,3;5,2;5,8;x;2,4;2,4;4,0;x;4,9;2,0;3,5;3,4;42;4,1;3,8;3,7;2,4;5,5;8,5;5,5;6,7;6,1;5,6;5,3,,
Ethiopia;ETH;8,6;10,0;9,4;6,8;3,5;5,2;24.659;220;4,4;3,9;0,2;2,8;6,7;1.900,9;10,0;1,70%;6,4;8,2;2,2;0,7;1,5;3,0;0,9;62,28%;6,9;3,1;6,0;5,2;5,6;4,3;7,8;6,1;6,1;7,7;4,9;4,0;5,5;2,7;8;0,7;1,7;3,6;8,0;8,3;5,3;7,2;5,4;6,3;0,0;2,5
Fiji;FJI;3,5;x;3,5;4,8;2,9;3,9;196;221;4,4;1,4;1,7;2,5;3,4;0,0;0,0;0,00%;0,0;0,0;0,2;x;0,2;0,9;x;100,00%;10,0;3,7;3,2;0,0;1,6;6,5;5,3;5,9;3,1;5,6;4,8;10,0;6,8;4,3;19;1,8;3,1;5,0;0,2;4,2;1,3;1,9;x;1,9;6,8;5,1,,,,
Finland;FIN;0,0;x;0,0;0,7;0,5;0,6;-13;-2;0,0;x;0,1;0,1;0,2;25,6;4,7;0,46%;4,7;4,7;x;x;x;0,1;x;0,00%;0,0;0,1;2,3;0,0;1,2;1,6;1,3;1,5;2,0;7,8;6,3;10,0;8,0;5,5;86;8,5;7,0;7,5;x;3,6;2,0;2,8;2,0;2,4;9,2;7,1,,,,,,,
France;FRA;0,2;x;0,2;0,7;1,9;1,3;0;0;0,0;x;0,3;0,2;0,5;457,4;8,9;0,70%;5,2;7,1;0,8;0,6;0,7;0,1;x;0,00%;0,0;0,3;1,6;0,0;0,8;x;0,8;0,8;2,9;9,6;9,8;4,0;7,8;4,2;256;10,0;7,1;7,5;x;4,7;5,2;5,0;5,6;5,3;7,6;7,0,,,,,
Gabon;GAB;4,0;6,7;5,5;7,1;3,3;5,2;196;90;1,8;0,5;0,0;0,8;4,3;0,8;0,0;0,04%;2,5;1,3;7,2;8,4;7,8;9,6;4,2;31,95%;3,5;6,3;3,7;1,8;2,8;6,9;6,2;6,6;4,6;x;x;0,0;0,0;6,5;2;0,1;3,3;1,7;3,1;3,2;8,2;4,8;6,7;5,8;1,6;2,7,,
Gambia;GMB;8,7;9,1;8,9;8,3;2,7;5,5;131;56;1,1;9,7;4,2;5,0;7,1;4,4;2,1;0,19%;3,7;2,9;3,4;3,9;3,7;3,2;1,4;6,85%;0,8;2,3;4,1;1,7;2,9;1,4;7,2;4,3;3,1;1,8;3,0;2,0;2,3;4,6;42;4,1;4,4;3,4;8,2;3,1;4,0;5,1;5,1;5,1;0,0;2,1
Georgia;GEO;2,3;x;2,3;4,7;3,2;4,0;548;137;2,7;2,3;3,9;3,0;2,9;295,7;8,2;7,40%;9,2;8,7;1,0;1,3;1,2;1,6;0,0;10,32%;1,1;1,0;4,5;1,0;2,8;x;1,0;1,0;4,4;4,3;7,0;4,0;5,1;5,9;82;8,2;7,1;6,1;0,1;3,3;1,6;1,7;6,8;4,3;8,0;6,6,,
Germany;DEU;0,0;x;0,0;1,1;1,7;1,4;-164;-2;0,0;x;0,2;0,1;0,4;1.433,1;10,0;1,72%;6,4;8,2;x;x;x;0,1;x;0,00%;0,0;0,1;1,5;0,0;0,8;0,9;2,4;1,7;3,6;10,0;8,9;8,0;9,0;6,6;516;10,0;8,3;8,7;x;3,6;6,5;5,1;3,1;4,1;9,2;7,8,,,,,,,
Ghana;GHA;6,1;7,9;7,1;7,2;4,6;5,9;1.233;41;0,8;1,1;1,8;1,2;5,3;18,0;4,2;0,06%;2,8;3,5;3,2;3,5;3,4;2,8;6,8;53,88%;6,0;4,7;1,9;0,2;1,1;4,1;3,4;3,8;3,4;4,2;x;4,0;4,1;4,5;18;1,8;3,2;3,7;4,1;3,2;3,1;3,5;6,0;4,8;0,8;2,5,
Greece;GRC;0,6;x;0,6;1,6;2,8;2,2;2.532;242;4,8;x;0,1;2,5;1,5;137,6;7,1;1,31%;6,0;6,6;0,6;0,6;0,6;0,1;x;0,00%;0,0;0,2;2,1;0,0;1,1;1,6;0,1;0,9;2,7;7,9;8,6;x;8,3;3,9;132;10,0;7,0;7,7;0,6;4,3;4,4;3,1;8,0;5,6;8,8;7,7,,,,
Grenada;GRD;2,7;x;2,7;x;x;x;2;22;0,4;1,9;1,4;1,2;2,2;0,0;0,0;0,00%;0,0;0,0;x;x;x;0,1;x;0,21%;0,0;0,1;6,9;4,4;5,7;x;x;x;2,4;x;3,1;x;3,1;6,8;232;10,0;8,4;5,8;0,3;5,0;6,5;3,9;x;3,9;4,8;4,8,,,,,,,,,,,,,,
Guatemala;GTM;5,0;7,9;6,7;6,6;5,8;6,2;1.172;67;1,3;0,3;4,0;1,9;5,4;242,6;7,9;1,38%;6,1;7,0;1,0;0,8;0,9;0,5;0,0;27,51%;3,1;1,1;4,5;3,4;4,0;1,8;1,3;1,6;3,8;2,9;5,8;6,0;4,9;3,8;20;1,9;2,9;3,9;3,7;4,2;9,0;5,6;8,8;7,2;1,6;3,6
Guinea;GIN;8,7;9,4;9,1;x;2,2;2,2;437;34;0,7;3,7;0,1;1,5;5,5;6,2;2,6;0,05%;2,7;2,7;3,0;3,5;3,3;3,2;8,4;59,67%;6,6;5,4;4,1;3,8;4,0;x;10,0;10,0;6,7;x;x;4,0;4,0;6,0;14;1,3;3,7;3,9;9,9;5,3;9,6;8,3;7,0;7,7;0,0;2,9,,,,
Guinea-Bissau;GNB;8,8;9,5;9,2;x;6,4;6,4;90;47;0,9;7,0;2,9;3,6;7,1;4,9;2,3;0,25%;4,0;3,2;6,2;6,7;6,5;6,8;1,5;70,23%;7,8;5,6;6,7;7,7;7,2;x;5,2;5,2;5,5;x;x;2,0;2,0;0,5;12;1,1;0,8;1,4;8,7;6,2;6,4;7,1;x;7,1;0,4;2,3,,,,,
Guyana;GUY;4,6;4,3;4,5;6,6;x;6,6;64;82;1,6;1,8;2,9;2,1;4,4;0,0;0,0;0,01%;1,5;0,8;3,2;3,6;3,4;1,6;0,8;93,28%;10,0;4,0;4,1;1,0;2,6;x;x;x;2,6;1,0;3,5;x;2,3;6,6;2;0,1;3,4;2,9;2,9;6,0;8,8;5,9;6,5;6,2;3,6;4,1,,,,,
Haiti;HTI;7,9;8,5;8,2;8,3;4,0;6,2;3.125;277;5,5;6,8;10,0;7,4;7,5;34,5;5,1;0,31%;4,2;4,7;4,2;3,5;3,9;3,3;0,1;53,74%;6,0;3,3;7,9;10,0;9,0;2,9;7,3;5,1;6,1;x;4,2;0,0;2,1;2,5;83;8,3;5,4;3,8;6,8;7,3;7,0;7,0;8,5;7,8;2,0;3,9,
Honduras;HND;5,5;7,2;6,4;6,4;6,4;6,4;708;73;1,5;2,0;6,6;3,4;5,7;190,1;7,6;1,95%;6,6;7,1;0,8;0,5;0,7;0,7;0,0;27,97%;3,1;1,1;4,1;2,6;3,4;2,3;1,4;1,9;3,8;4,0;4,8;4,0;4,3;5,8;13;1,3;3,6;4,0;2,6;6,2;2,3;3,7;8,2;6,0;1,6;3,3
Hungary;HUN;1,1;x;1,1;3,4;1,4;2,4;0;0;0,0;x;0,9;0,5;1,3;6,2;2,6;0,06%;2,9;2,8;x;0,2;0,2;0,1;x;0,00%;0,0;0,1;3,2;0,0;1,6;1,6;1,0;1,3;1,5;8,7;6,9;4,0;6,5;4,2;177;10,0;7,1;6,8;0,2;5,0;0,2;1,8;8,0;4,9;9,6;7,7,,,,
Iceland;ISL;0,0;x;0,0;0,8;0,7;0,8;0;0;0,0;x;0,2;0,1;0,2;1,0;0,1;0,31%;4,2;2,2;x;x;x;0,1;x;0,00%;0,0;0,1;1,7;0,0;0,9;x;x;x;1,1;7,2;5,9;8,0;7,0;4,6;24;2,3;3,5;5,3;x;3,8;7,0;5,4;3,9;4,7;6,4;5,7,,,,,,,,,,
India;IND;5,1;7,7;6,6;6,7;2,7;4,7;4.950;4;0,1;0,1;1,0;0,4;4,6;686,8;9,5;0,05%;2,7;6,1;0,6;0,5;0,6;3,7;0,2;37,74%;4,2;2,2;5,5;3,2;4,4;4,8;2,7;3,8;4,3;10,0;8,0;8,0;8,7;2,4;25;2,4;2,4;5,6;4,9;5,8;6,8;5,8;4,7;5,3;3,6;4,5
Indonesia;IDN;3,9;5,4;4,7;6,0;3,3;4,7;2.116;8;0,2;0,1;0,4;0,2;3,6;30,0;4,9;0,01%;1,9;3,4;0,8;1,1;1,0;5,8;0,1;37,12%;4,1;2,7;3,2;1,1;2,2;x;4,2;4,2;3,2;10,0;7,9;8,0;8,6;6,1;10;0,9;3,5;6,1;0,9;4,1;4,0;3,0;5,5;4,3;3,6;4,4,
Iran;IRN;2,1;x;2,1;6,6;3,8;5,2;815;10;0,2;0,0;0,1;0,1;2,4;979,5;10,0;1,18%;5,9;8,0;0,2;0,3;0,3;0,3;0,0;0,00%;0,0;0,1;2,5;0,0;1,3;x;2,5;2,5;3,8;8,5;6,7;4,0;6,4;6,4;10;0,9;3,7;5,1;2,9;4,7;5,1;4,2;5,9;5,1;3,2;4,2,,
Iraq;IRQ;4,2;5,6;4,9;7,2;1,1;4,2;26.481;674;10,0;0,7;0,1;3,6;4,4;1.707,4;10,0;4,34%;8,1;9,1;x;x;x;0,8;0,0;5,52%;0,6;0,5;5,5;8,0;6,8;x;6,8;6,8;6,6;5,8;x;8,0;6,9;5,4;11;1,0;3,2;5,1;8,2;5,4;1,5;5,0;x;5,0;1,2;3,1,,,,,,
Ireland;IRL;0,0;x;0,0;1,2;1,7;1,5;-1;0;0,0;x;0,1;0,1;0,4;13,2;3,7;0,27%;4,1;3,9;0,4;x;0,4;0,1;x;0,00%;0,0;0,2;0,4;0,0;0,2;0,7;0,0;0,4;1,3;10,0;7,5;0,0;5,8;6,7;160;10,0;8,4;7,1;x;5,0;1,8;3,4;3,9;3,7;6,4;5,9,,,,,
Israel;ISR;0,0;x;0,0;1,3;3,5;2,4;0;0;0,0;x;0,1;0,1;0,6;54,1;5,8;0,64%;5,0;5,4;x;x;x;0,1;x;0,00%;0,0;0,1;0,0;0,0;0,0;x;x;x;2,2;7,2;6,4;2,0;5,2;5,2;213;10,0;7,6;6,4;x;3,7;3,9;3,8;5,9;4,9;3,6;4,6,,,,,,,,,,
Italy;ITA;0,3;x;0,3;0,9;2,6;1,8;48;1;0,0;x;0,2;0,1;0,6;294,9;8,2;0,49%;4,7;6,5;0,6;0,3;0,5;0,1;x;0,00%;0,0;0,2;0,8;0,0;0,4;x;0,5;0,5;2,4;8,6;9,4;8,0;8,7;6,7;241;10,0;8,4;8,6;0,2;3,2;5,6;3,0;8,6;5,8;9,2;8,2,,,,
Jamaica;JAM;3,5;4,7;4,1;5,4;x;5,4;84;29;0,6;0,4;5,3;2,1;3,9;0,0;0,0;0,00%;0,0;0,0;3,4;3,9;3,7;0,1;x;10,38%;1,2;1,7;4,8;1,0;2,9;1,7;0,5;1,1;1,5;3,1;5,9;8,0;5,7;5,6;77;7,6;6,6;6,2;2,5;5,1;0,9;2,8;7,1;5,0;4,8;5,2,,
Japan;JPN;0,0;x;0,0;1,3;x;1,3;8;0;0,0;x;0,0;0,0;0,3;30,9;5,0;0,02%;2,3;3,7;0,2;0,1;0,2;0,3;x;0,00%;0,0;0,2;4,8;0,0;2,4;x;1,0;1,0;1,9;10,0;8,6;x;9,3;6,9;384;10,0;8,5;8,9;x;3,0;3,8;3,4;4,2;3,8;10,0;8,2,,,,,,,
Jordan;JOR;3,5;0,7;2,2;6,2;2,2;4,2;18.587;1.840;10,0;4,0;3,5;5,8;3,6;3.124,2;10,0;30,93%;10,0;10,0;0,2;x;0,2;0,1;x;0,00%;0,0;0,1;4,8;2,4;3,6;3,0;2,2;2,6;5,8;6,3;6,5;4,0;5,6;3,7;33;3,2;3,5;4,6;0,4;5,8;2,4;2,9;5,4;4,2;1,6;3,0,,
Kazakhstan;KAZ;1,7;0,8;1,3;2,7;0,6;1,7;15;1;0,0;0,0;0,1;0,0;1,1;0,8;0,0;0,00%;0,0;0,0;0,4;1,1;0,8;1,2;0,0;0,00%;0,0;0,5;1,6;0,0;0,8;x;1,6;1,6;0,7;7,1;7,2;10,0;8,1;2,6;6;0,5;1,6;4,9;0,0;3,0;8,3;3,8;5,4;4,6;3,6;4,2,
Kenya;KEN;6,4;8,3;7,5;7,3;4,0;5,7;7.571;144;2,9;1,9;1,0;1,9;5,7;663,7;9,4;1,26%;6,0;7,7;10,0;6,5;8,3;5,8;1,8;22,11%;2,5;4,6;6,9;8,1;7,5;5,6;5,2;5,4;6,5;6,9;5,3;4,0;5,4;1,6;11;1,0;1,3;3,4;3,7;5,3;8,6;5,9;7,1;6,5;0,8;2,9
Kiribati;KIR;5,5;x;5,5;x;3,0;3,0;99;838;10,0;10,0;3,2;7,7;5,4;0,0;0,0;0,00%;0,0;0,0;x;x;x;7,5;x;100,00%;10,0;8,8;1,2;0,0;0,6;8,0;x;8,0;5,7;2,1;0,0;8,0;3,4;7,2;93;9,3;8,3;5,9;x;7,7;x;7,7;x;7,7;5,6;6,2,,,,,,,,,,
Korea DPR;PRK;8,4;x;8,4;x;x;x;964;38;0,8;x;x;0,8;5,9;0,0;0,0;0,00%;0,0;0,0;x;x;x;9,3;0,0;21,64%;2,4;3,9;8,8;10,0;9,4;x;x;x;6,0;2,5;x;6,0;4,3;6,3;29;2,8;4,6;4,5;0,0;9,5;0,5;3,3;x;3,3;5,6;4,8,,,,,,,,,,,,,,
Korea Republic of;KOR;0,0;x;0,0;0,8;1,7;1,3;4;0;0,0;x;0,1;0,1;0,4;22,7;4,5;0,04%;2,6;3,6;x;x;x;1,3;0,0;0,00%;0,0;0,4;2,0;0,0;1,0;x;2,2;2,2;1,9;9,9;7,8;8,0;8,6;5,9;103;10,0;8,0;8,3;x;3,6;0,2;1,9;7,5;4,7;7,6;7,1,,,,,,,
Kuwait;KWT;1,8;x;1,8;3,3;x;3,3;-73;-17;0,0;x;0,0;0,0;1,7;1,7;0,7;0,04%;2,5;1,6;0,2;0,3;0,3;0,5;x;0,00%;0,0;0,3;1,9;0,0;1,0;x;4,6;4,6;2,0;7,0;x;6,0;6,5;4,9;52;5,2;5,1;5,8;0,8;1,5;6,6;3,0;6,7;4,9;3,2;4,3,,,,,,
Kyrgyzstan;KGZ;4,5;3,4;4,0;5,1;0,6;2,9;300;47;0,9;3,5;10,0;4,8;3,9;0,4;0,0;0,01%;1,6;0,8;0,4;0,6;0,5;2,6;0,0;1,77%;0,2;0,8;4,0;0,7;2,4;3,7;4,1;3,9;2,1;4,6;6,6;6,0;5,7;2,3;20;1,9;2,1;3,9;0,1;3,2;7,8;3,7;6,9;5,3;1,6;3,1
Lao PDR;LAO;5,9;7,5;6,8;6,2;2,9;4,6;837;117;2,3;2,2;0,4;1,6;5,0;0,0;0,0;0,00%;0,0;0,0;0,6;x;0,6;3,1;0,1;27,24%;3,0;1,7;5,9;3,8;4,9;1,2;7,2;4,2;2,9;5,2;6,3;4,0;5,2;5,2;11;1,0;3,1;4,2;3,1;7,6;1,9;4,2;5,2;4,7;2,0;3,2,
Latvia;LVA;0,9;x;0,9;2,3;2,3;2,3;0;0;0,0;x;1,2;0,6;1,2;0,7;0,0;0,04%;2,5;1,3;1,4;x;1,4;0,6;x;0,00%;0,0;0,7;2,7;0,0;1,4;1,4;0,1;0,8;1,0;6,5;5,7;8,0;6,7;6,1;90;9,0;7,6;7,2;0,0;4,8;2,4;2,4;7,8;5,1;10,0;8,1,,,,
Lebanon;LBN;3,4;x;3,4;4,8;1,7;3,3;25.440;3.711;10,0;1,7;4,1;5,3;3,9;1.477,0;10,0;21,54%;10,0;10,0;0,2;0,1;0,2;0,2;x;0,00%;0,0;0,1;4,8;2,0;3,4;x;5,4;5,4;6,3;6,2;5,7;2,0;4,6;5,3;108;10,0;7,7;6,2;1,1;6,9;7,3;5,1;8,9;7,0;4,4;5,5,,,
Lesotho;LSO;7,6;8,0;7,8;7,3;7,3;7,3;324;152;3,0;3,2;7,7;4,6;6,9;0,1;0,0;0,00%;0,0;0,0;10,0;10,0;10,0;10,0;x;18,24%;2,0;7,3;4,9;2,7;3,8;x;4,6;4,6;4,4;x;5,1;0,0;2,6;6,0;18;1,7;3,9;3,3;4,5;4,4;9,3;6,1;6,3;6,2;6,4;5,6,,,
Liberia;LBR;8,7;9,3;9,0;8,7;2,6;5,7;791;160;3,2;10,0;4,7;6,0;7,4;8,3;3,1;0,17%;3,6;3,4;3,2;3,0;3,1;5,6;4,8;52,47%;5,8;4,8;6,5;10,0;8,3;7,7;5,3;6,5;6,1;x;x;6,0;6,0;4,8;9;0,8;2,8;4,4;8,4;7,4;8,0;7,9;6,9;7,4;0,4;3,2,,
Libya;LBY;3,8;3,2;3,5;2,3;x;2,3;3.380;499;10,0;0,4;x;5,2;3,6;412,0;8,7;6,08%;8,8;8,8;x;x;x;0,7;x;0,04%;0,0;0,4;1,5;1,8;1,7;x;3,0;3,0;4,5;4,9;x;0,0;2,5;6,8;4;0,3;3,6;3,1;x;5,6;0,2;2,9;7,9;5,4;3,2;3,7,,,,,,,,,
Liechtenstein;LIE;0,0;x;0,0;x;x;x;0;0;0,0;x;x;0,0;0,0;0,2;0,0;0,64%;5,1;2,6;x;x;x;x;x;x;x;x;1,6;0,0;0,8;x;x;x;1,7;x;2,1;x;2,1;5,2;688;10,0;7,6;4,9;x;3,9;2,2;3,1;x;3,1;x;4,0,,,,,,,,,,,,,,,,,,,,,,
Lithuania;LTU;0,6;x;0,6;1,7;3,1;2,4;0;0;0,0;x;0,9;0,5;1,0;2,0;1,0;0,07%;3,0;2,0;0,4;0,8;0,6;0,9;x;0,00%;0,0;0,5;1,6;0,0;0,8;1,1;0,1;0,6;1,0;1,0;6,0;6,0;4,3;7,1;140;10,0;8,6;6,5;0,0;1,9;0,2;0,7;7,0;3,9;10,0;7,6,,,
Luxembourg;LUX;0,0;x;0,0;1,0;2,2;1,6;-12;-19;0,0;x;1,0;0,5;0,5;3,5;1,8;0,57%;4,9;3,4;x;0,7;0,7;0,1;x;0,00%;0,0;0,3;2,1;0,0;1,1;0,5;0,1;0,3;1,4;5,8;5,0;6,0;5,6;2,6;541;10,0;6,3;6,0;x;3,5;9,0;6,3;2,3;4,3;7,6;6,4,,,,,
Madagascar;MDG;7,6;9,8;9,0;x;4,4;4,4;1.372;51;1,0;3,4;1,0;1,8;6,1;2,2;1,1;0,01%;1,7;1,4;0,4;1,4;0,9;4,3;2,3;74,96%;8,3;4,0;8,1;10,0;9,1;x;5,6;5,6;5,9;4,3;3,5;2,0;3,3;5,1;8;0,7;2,9;3,1;4,8;8,2;8,9;7,3;7,7;7,5;0,0;2,7,,
Malawi;MWI;8,3;8,8;8,6;8,2;4,9;6,6;2.462;132;2,6;10,0;0,9;4,5;7,1;56,0;5,8;0,30%;4,2;5,0;10,0;10,0;10,0;2,4;5,8;63,19%;7,0;6,3;4,7;4,2;4,5;5,3;1,9;3,6;4,9;0,1;4,8;2,0;2,3;5,6;19;1,8;3,7;3,0;6,7;8,3;2,0;5,7;8,5;7,1;1,2;3,1
Malaysia;MYS;1,9;x;1,9;3,7;4,0;3,9;-74;-2;0,0;0,0;0,2;0,1;2,0;163,1;7,4;0,51%;4,8;6,1;0,8;1,4;1,1;1,7;0,0;0,26%;0,0;0,7;3,3;0,0;1,7;x;5,1;5,1;3,7;9,5;8,5;10,0;9,3;2,8;21;2,0;2,4;5,9;1,3;3,4;4,1;2,9;4,5;3,7;3,6;4,2,,
Maldives;MDV;3,6;1,6;2,7;4,9;3,4;4,2;15;29;0,6;1,6;0,0;0,7;2,6;0,0;0,0;0,00%;0,0;0,0;0,2;x;0,2;0,7;x;0,19%;0,0;0,3;4,4;1,8;3,1;1,2;x;1,2;1,2;5,1;5,4;4,0;4,8;1,2;227;10,0;5,6;5,2;0,5;1,7;8,9;3,7;x;3,7;1,6;3,0,,,,
Mali;MLI;9,5;9,9;9,7;9,0;2,0;5,5;6.999;356;7,1;6,0;2,0;5,0;7,5;252,7;8,0;1,29%;6,0;7,0;2,0;3,1;2,6;1,0;9,7;34,80%;3,9;4,3;1,2;0,4;0,8;4,7;9,1;6,9;5,2;x;3,2;2,0;2,6;9,5;9;0,8;5,2;3,9;9,6;4,4;2,0;5,3;6,4;5,9;0,0;2,5,
Malta;MLT;0,3;x;0,3;2,6;1,1;1,9;0;0;0,0;x;0,6;0,3;0,7;10,5;3,4;2,37%;7,0;5,2;0,2;x;0,2;0,2;x;0,00%;0,0;0,1;2,0;0,0;1,0;0,9;0,0;0,5;2,0;6,0;5,9;4,0;5,3;0,1;844;10,0;5,1;5,2;1,2;3,1;7,0;3,8;6,8;5,3;9,2;7,2,,,,
Marshall Islands;MHL;4,0;x;4,0;x;x;x;129;2.188;10,0;10,0;4,7;8,2;5,4;0,0;0,0;0,00%;0,0;0,0;x;x;x;8,7;x;33,33%;3,7;6,2;10,0;0,0;5,0;4,3;x;4,3;4,2;1,0;0,0;4,0;1,7;1,0;144;10,0;5,5;3,6;0,4;8,8;8,2;5,8;x;5,8;x;4,7,,,,,,,,,,,
Mauritania;MRT;7,5;8,9;8,3;8,3;1,9;5,1;1.702;376;7,5;5,7;0,4;4,5;6,6;86,4;6,5;1,91%;6,6;6,6;1,0;0,3;0,7;1,8;1,3;18,89%;2,1;1,5;3,5;1,8;2,7;x;3,3;3,3;3,8;4,1;x;2,0;3,1;7,7;1;0,0;3,9;3,5;7,8;4,9;4,8;5,8;6,1;6,0;0,0;2,4,,
Mauritius;MUS;2,1;x;2,1;4,9;2,7;3,8;156;123;2,5;0,3;0,6;1,1;2,3;0,0;0,0;0,00%;0,0;0,0;1,8;x;1,8;0,2;x;0,00%;0,0;0,7;3,5;0,5;2,0;x;x;x;0,9;5,6;5,3;8,0;6,3;2,8;138;10,0;6,4;6,4;1,8;2,5;3,6;2,6;6,6;4,6;8,8;7,2,,,,,,
Mexico;MEX;2,7;5,2;4,1;4,5;4,6;4,6;1.426;11;0,2;0,0;1,0;0,4;3,3;378,4;8,6;0,30%;4,2;6,4;0,6;0,7;0,7;0,4;0,0;22,64%;2,5;0,9;2,4;0,0;1,2;1,9;0,5;1,2;2,8;9,5;9,0;8,0;8,8;1,1;19;1,8;1,5;5,2;1,0;5,4;6,7;4,4;8,8;6,6;4,4;5,2
Micronesia;FSM;5,7;x;5,7;x;3,8;3,8;316;2.774;10,0;10,0;1,9;7,3;5,6;0,0;0,0;0,00%;0,0;0,0;x;x;x;3,0;x;62,15%;6,9;5,0;10,0;0,0;5,0;5,7;x;5,7;4,2;x;x;x;x;5,4;54;5,4;5,4;5,4;x;9,2;2,9;6,1;x;6,1;5,2;5,5,,,,,,,,,,,,,
Moldova Republic of;MDA;3,8;2,0;2,9;3,0;0,2;1,6;191;47;0,9;1,3;5,4;2,5;2,5;0,5;0,0;0,01%;1,9;1,0;1,2;1,9;1,6;1,7;x;0,00%;0,0;1,1;5,9;0,0;3,0;3,1;1,3;2,2;1,9;5,1;2,9;8,0;5,3;0,7;128;10,0;5,4;5,4;0,1;5,7;7,8;4,5;8,3;6,4;7,2;6,6,
Mongolia;MNG;3,3;6,0;4,8;4,3;1,8;3,1;843;261;5,2;1,9;1,1;2,7;3,9;0,0;0,0;0,00%;0,0;0,0;0,2;0,0;0,1;7,8;x;0,00%;0,0;2,6;4,9;2,8;3,9;3,1;1,1;2,1;2,3;4,6;4,2;10,0;6,3;4,9;4;0,3;2,6;4,5;0,3;3,4;2,9;2,2;8,8;5,5;2,0;3,5,
Montenegro;MNE;1,7;0,9;1,3;1,6;1,7;1,7;12;19;0,4;1,9;3,6;2,0;1,6;0,9;0,0;0,14%;3,5;1,8;0,2;0,3;0,3;0,3;x;0,00%;0,0;0,2;1,2;0,0;0,6;x;0,3;0,3;0,7;4,4;5,7;2,0;4,0;4,2;82;8,2;6,2;5,1;0,3;1,0;3,8;1,7;6,3;4,0;7,2;5,9,,
Morocco;MAR;4,5;7,1;6,0;6,6;3,6;5,1;1.208;33;0,7;0,5;2,0;1,1;4,6;7,8;3,0;0,02%;2,2;2,6;0,2;0,2;0,2;1,8;0,0;0,02%;0,0;0,5;0,0;0,0;0,0;x;2,7;2,7;1,5;7,3;7,6;6,0;7,0;3,5;29;2,8;3,2;5,1;5,0;3,9;8,2;5,7;6,0;5,9;4,4;5,0,
Mozambique;MOZ;9,1;9,7;9,4;7,6;7,3;7,5;6.595;217;4,3;8,4;0,7;4,5;7,7;56,0;5,8;0,18%;3,7;4,8;10,0;10,0;10,0;10,0;8,4;77,24%;8,6;9,3;5,9;7,6;6,8;3,3;2,8;3,1;6,6;4,3;5,4;4,0;4,6;3,1;5;0,4;1,8;3,2;6,9;7,8;7,5;7,4;7,6;7,5;1,6;3,5
Myanmar;MMR;6,3;8,3;7,4;6,1;3,3;4,7;6.914;128;2,6;1,6;1,3;1,8;5,3;401,1;8,7;0,74%;5,2;7,0;1,6;1,2;1,4;6,5;0,1;69,35%;7,7;3,9;4,3;1,9;3,1;2,3;6,3;4,3;4,8;6,3;6,3;6,0;6,2;1,7;7;0,6;1,2;3,7;4,7;4,4;6,9;5,3;6,7;6,0;4,0;4,4
Namibia;NAM;5,1;8,3;7,0;6,1;8,5;7,3;300;120;2,4;0,7;0,1;1,1;5,6;4,0;2,0;0,16%;3,6;2,8;10,0;10,0;10,0;7,7;1,1;44,25%;4,9;5,9;4,3;7,4;5,9;4,4;3,4;3,9;4,8;4,5;5,4;4,0;4,6;3,8;7;0,6;2,2;3,4;x;4,5;4,6;4,6;5,9;5,3;2,8;3,6,
